Time,Province,New,Domestic,Overseas inflow,Accumulate
2021-04-09,Busan,53,50.0,3.0,4245
2021-04-10,Busan,56,56.0,0.0,4301
2021-04-11,Busan,45,44.0,1.0,4346
2021-04-12,Busan,47,46.0,1.0,4393
2021-04-13,Busan,39,39.0,0.0,4432
2021-04-14,Busan,49,48.0,1.0,4481
2021-04-15,Busan,54,54.0,0.0,4535
2021-04-16,Busan,44,44.0,0.0,4579
2021-04-17,Busan,35,33.0,2.0,4614
2021-04-18,Busan,31,30.0,1.0,4644
2021-04-19,Busan,26,25.0,1.0,4670
2021-04-20,Busan,29,29.0,0.0,4699
2021-04-21,Busan,33,33.0,0.0,4732
2021-04-22,Busan,37,35.0,2.0,4769
2021-04-23,Busan,33,33.0,0.0,4802
2021-04-24,Busan,44,44.0,0.0,4846
2021-04-25,Busan,43,43.0,0.0,4889
2020-04-01,Chungbuk,0,,,44
2020-04-02,Chungbuk,0,,,44
2020-04-03,Chungbuk,1,,,45
2020-04-04,Chungbuk,0,,,45
2020-04-05,Chungbuk,0,,,45
2020-04-06,Chungbuk,0,,,45
2020-04-07,Chungbuk,0,,,45
2020-04-08,Chungbuk,0,,,45
2020-04-09,Chungbuk,0,0.0,0.0,45
2020-04-10,Chungbuk,0,0.0,0.0,45
2020-04-11,Chungbuk,0,0.0,0.0,45
2020-04-12,Chungbuk,0,0.0,0.0,45
2020-04-13,Chungbuk,0,0.0,0.0,45
2020-04-14,Chungbuk,0,0.0,0.0,45
2020-04-15,Chungbuk,0,0.0,0.0,45
2020-04-16,Chungbuk,0,0.0,0.0,45
2020-04-17,Chungbuk,0,0.0,0.0,45
2020-04-18,Chungbuk,0,0.0,0.0,45
2020-04-19,Chungbuk,0,0.0,0.0,45
2020-04-20,Chungbuk,0,0.0,0.0,45
2020-04-21,Chungbuk,0,0.0,0.0,45
2020-04-22,Chungbuk,0,0.0,0.0,45
2020-04-23,Chungbuk,0,0.0,0.0,45
2020-04-24,Chungbuk,0,0.0,0.0,45
2020-04-25,Chungbuk,0,0.0,0.0,45
2020-04-26,Chungbuk,0,0.0,0.0,45
2020-04-27,Chungbuk,0,0.0,0.0,45
2020-04-28,Chungbuk,0,0.0,0.0,45
2020-04-29,Chungbuk,0,0.0,0.0,45
2020-04-30,Chungbuk,0,0.0,0.0,45
2020-05-01,Chungbuk,0,0.0,0.0,45
2020-05-02,Chungbuk,0,0.0,0.0,45
2020-05-03,Chungbuk,0,0.0,0.0,45
2020-05-04,Chungbuk,0,0.0,0.0,45
2020-05-05,Chungbuk,0,0.0,0.0,45
2020-05-06,Chungbuk,0,0.0,0.0,45
2020-05-07,Chungbuk,1,0.0,1.0,46
2020-05-08,Chungbuk,1,0.0,1.0,47
2020-05-09,Chungbuk,0,0.0,0.0,47
2020-05-10,Chungbuk,2,2.0,0.0,49
2020-05-11,Chungbuk,3,3.0,0.0,52
2020-05-12,Chungbuk,0,0.0,0.0,52
2020-05-13,Chungbuk,0,0.0,0.0,52
2020-05-14,Chungbuk,3,3.0,0.0,55
2020-05-15,Chungbuk,0,0.0,0.0,55
2020-05-16,Chungbuk,1,1.0,0.0,56
2020-05-17,Chungbuk,0,0.0,0.0,56
2020-05-18,Chungbuk,3,2.0,1.0,59
2020-05-19,Chungbuk,0,0.0,0.0,59
2020-05-20,Chungbuk,0,0.0,0.0,59
2020-05-21,Chungbuk,0,0.0,0.0,59
2020-05-22,Chungbuk,0,0.0,0.0,59
2020-05-23,Chungbuk,0,0.0,0.0,59
2020-05-24,Chungbuk,0,0.0,0.0,59
2020-05-25,Chungbuk,0,0.0,0.0,59
2020-05-26,Chungbuk,1,1.0,0.0,60
2020-05-27,Chungbuk,0,0.0,0.0,60
2020-05-28,Chungbuk,0,0.0,0.0,60
2020-05-29,Chungbuk,0,0.0,0.0,60
2020-05-30,Chungbuk,0,0.0,0.0,60
2020-05-31,Chungbuk,0,0.0,0.0,60
2020-06-01,Chungbuk,0,0.0,0.0,60
2020-06-02,Chungbuk,0,0.0,0.0,60
2020-06-03,Chungbuk,0,0.0,0.0,60
2020-06-04,Chungbuk,0,0.0,0.0,60
2020-06-05,Chungbuk,0,0.0,0.0,60
2020-06-06,Chungbuk,0,0.0,0.0,60
2020-06-07,Chungbuk,1,0.0,1.0,61
2020-06-08,Chungbuk,0,0.0,0.0,61
2020-06-09,Chungbuk,0,0.0,0.0,61
2020-06-10,Chungbuk,0,0.0,0.0,61
2020-06-11,Chungbuk,0,0.0,0.0,61
2020-06-12,Chungbuk,0,0.0,0.0,61
2020-06-13,Chungbuk,0,0.0,0.0,61
2020-06-14,Chungbuk,0,0.0,0.0,61
2020-06-15,Chungbuk,0,0.0,0.0,61
2020-06-16,Chungbuk,0,0.0,0.0,61
2020-06-17,Chungbuk,0,0.0,0.0,61
2020-06-18,Chungbuk,0,0.0,0.0,61
2020-06-19,Chungbuk,0,0.0,0.0,61
2020-06-20,Chungbuk,0,0.0,0.0,61
2020-06-21,Chungbuk,0,0.0,0.0,61
2020-06-22,Chungbuk,0,0.0,0.0,61
2020-06-23,Chungbuk,1,0.0,1.0,62
2020-06-24,Chungbuk,0,0.0,0.0,62
2020-06-25,Chungbuk,0,0.0,0.0,62
2020-06-26,Chungbuk,0,0.0,0.0,62
2020-06-27,Chungbuk,1,0.0,1.0,63
2020-06-28,Chungbuk,1,1.0,0.0,64
2020-06-29,Chungbuk,0,0.0,0.0,64
2020-06-30,Chungbuk,1,1.0,0.0,65
2020-07-01,Chungbuk,0,0.0,0.0,64
